id,sous_traitant_id,sous_traitant_nom,indicateur,periode,valeur,seuil_alerte,seuil_objectif,statut,tendance
KQI-001,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2023-Q1,94,90,95,Attention,Stable
KQI-002,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2023-Q2,95,90,95,OK,Amélioration
KQI-003,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2023-Q3,96,90,95,OK,Amélioration
KQI-004,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2023-Q4,94,90,95,Attention,Dégradation
KQI-005,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2024-Q1,97,90,95,OK,Amélioration
KQI-006,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2024-Q2,96,90,95,OK,Dégradation
KQI-007,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2024-Q3,98,90,95,OK,Amélioration
KQI-008,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2024-Q4,97,90,95,OK,Dégradation
KQI-009,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2025-Q1,98,90,95,OK,Amélioration
KQI-010,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2025-Q2,97,90,95,OK,Dégradation
KQI-011,ST-001,CRO Alpha Clinical Services,Taux conformité documentaire,2025-Q3,98,90,95,OK,Amélioration
KQI-012,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2023-Q1,12,15,10,Attention,Stable
KQI-013,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2023-Q2,11,15,10,Attention,Amélioration
KQI-014,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2023-Q3,10,15,10,OK,Amélioration
KQI-015,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2023-Q4,11,15,10,Attention,Dégradation
KQI-016,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2024-Q1,9,15,10,OK,Amélioration
KQI-017,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2024-Q2,10,15,10,OK,Dégradation
KQI-018,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2024-Q3,8,15,10,OK,Amélioration
KQI-019,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2024-Q4,9,15,10,OK,Dégradation
KQI-020,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2025-Q1,8,15,10,OK,Amélioration
KQI-021,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2025-Q2,9,15,10,OK,Dégradation
KQI-022,ST-001,CRO Alpha Clinical Services,Délai livraison rapports,2025-Q3,8,15,10,OK,Amélioration
KQI-023,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2023-Q1,88,85,92,Attention,Stable
KQI-024,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2023-Q2,89,85,92,Attention,Amélioration
KQI-025,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2023-Q3,91,85,92,Attention,Amélioration
KQI-026,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2023-Q4,87,85,92,Attention,Dégradation
KQI-027,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2024-Q1,93,85,92,OK,Amélioration
KQI-028,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2024-Q2,91,85,92,Attention,Dégradation
KQI-029,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2024-Q3,94,85,92,OK,Amélioration
KQI-030,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2024-Q4,92,85,92,OK,Dégradation
KQI-031,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2025-Q1,95,85,92,OK,Amélioration
KQI-032,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2025-Q2,94,85,92,OK,Dégradation
KQI-033,ST-001,CRO Alpha Clinical Services,Taux de queries résolus J+5,2025-Q3,96,85,92,OK,Amélioration
KQI-034,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2023-Q1,97,95,98,Attention,Stable
KQI-035,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2023-Q2,98,95,98,OK,Amélioration
KQI-036,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2023-Q3,96,95,98,Attention,Dégradation
KQI-037,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2023-Q4,94,95,98,ALERTE,Dégradation
KQI-038,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2024-Q1,92,95,98,ALERTE,Dégradation
KQI-039,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2024-Q2,95,95,98,Attention,Amélioration
KQI-040,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2024-Q3,97,95,98,Attention,Amélioration
KQI-041,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2024-Q4,98,95,98,OK,Amélioration
KQI-042,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2025-Q1,98,95,98,OK,Stable
KQI-043,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2025-Q2,99,95,98,OK,Amélioration
KQI-044,ST-002,Beta Bioanalytics Lab,Taux conformité méthodes,2025-Q3,98,95,98,OK,Dégradation
KQI-045,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2023-Q1,20,25,18,Attention,Stable
KQI-046,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2023-Q2,19,25,18,Attention,Amélioration
KQI-047,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2023-Q3,21,25,18,Attention,Dégradation
KQI-048,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2023-Q4,24,25,18,Attention,Dégradation
KQI-049,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2024-Q1,28,25,18,ALERTE,Dégradation
KQI-050,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2024-Q2,22,25,18,Attention,Amélioration
KQI-051,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2024-Q3,19,25,18,Attention,Amélioration
KQI-052,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2024-Q4,18,25,18,OK,Amélioration
KQI-053,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2025-Q1,17,25,18,OK,Amélioration
KQI-054,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2025-Q2,18,25,18,OK,Dégradation
KQI-055,ST-002,Beta Bioanalytics Lab,Délai résultats bioanalyse,2025-Q3,17,25,18,OK,Amélioration
KQI-056,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2023-Q1,99,98,99,OK,Stable
KQI-057,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2023-Q2,99,98,99,OK,Stable
KQI-058,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2023-Q3,98,98,99,Attention,Dégradation
KQI-059,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2023-Q4,97,98,99,ALERTE,Dégradation
KQI-060,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2024-Q1,96,98,99,ALERTE,Dégradation
KQI-061,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2024-Q2,98,98,99,Attention,Amélioration
KQI-062,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2024-Q3,99,98,99,OK,Amélioration
KQI-063,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2024-Q4,99,98,99,OK,Stable
KQI-064,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2025-Q1,99,98,99,OK,Stable
KQI-065,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2025-Q2,99,98,99,OK,Stable
KQI-066,ST-002,Beta Bioanalytics Lab,Taux échantillons valides,2025-Q3,99,98,99,OK,Stable
KQI-067,ST-003,Gamma Data Management,Taux erreur saisie CRF,2023-Q1,2,3,1.5,Attention,Stable
KQI-068,ST-003,Gamma Data Management,Taux erreur saisie CRF,2023-Q2,1.8,3,1.5,Attention,Amélioration
KQI-069,ST-003,Gamma Data Management,Taux erreur saisie CRF,2023-Q3,2.2,3,1.5,Attention,Dégradation
KQI-070,ST-003,Gamma Data Management,Taux erreur saisie CRF,2023-Q4,2.8,3,1.5,Attention,Dégradation
KQI-071,ST-003,Gamma Data Management,Taux erreur saisie CRF,2024-Q1,3.5,3,1.5,ALERTE,Dégradation
KQI-072,ST-003,Gamma Data Management,Taux erreur saisie CRF,2024-Q2,2.5,3,1.5,Attention,Amélioration
KQI-073,ST-003,Gamma Data Management,Taux erreur saisie CRF,2024-Q3,1.9,3,1.5,Attention,Amélioration
KQI-074,ST-003,Gamma Data Management,Taux erreur saisie CRF,2024-Q4,1.6,3,1.5,Attention,Amélioration
KQI-075,ST-003,Gamma Data Management,Taux erreur saisie CRF,2025-Q1,1.4,3,1.5,OK,Amélioration
KQI-076,ST-003,Gamma Data Management,Taux erreur saisie CRF,2025-Q2,1.5,3,1.5,OK,Dégradation
KQI-077,ST-003,Gamma Data Management,Taux erreur saisie CRF,2025-Q3,1.3,3,1.5,OK,Amélioration
KQI-078,ST-003,Gamma Data Management,Délai database lock,2023-Q1,5,7,4,Attention,Stable
KQI-079,ST-003,Gamma Data Management,Délai database lock,2023-Q2,4,7,4,OK,Amélioration
KQI-080,ST-003,Gamma Data Management,Délai database lock,2023-Q3,5,7,4,Attention,Dégradation
KQI-081,ST-003,Gamma Data Management,Délai database lock,2023-Q4,6,7,4,Attention,Dégradation
KQI-082,ST-003,Gamma Data Management,Délai database lock,2024-Q1,9,7,4,ALERTE,Dégradation
KQI-083,ST-003,Gamma Data Management,Délai database lock,2024-Q2,6,7,4,Attention,Amélioration
KQI-084,ST-003,Gamma Data Management,Délai database lock,2024-Q3,5,7,4,Attention,Amélioration
KQI-085,ST-003,Gamma Data Management,Délai database lock,2024-Q4,4,7,4,OK,Amélioration
KQI-086,ST-003,Gamma Data Management,Délai database lock,2025-Q1,4,7,4,OK,Stable
KQI-087,ST-003,Gamma Data Management,Délai database lock,2025-Q2,3,7,4,OK,Amélioration
KQI-088,ST-003,Gamma Data Management,Délai database lock,2025-Q3,4,7,4,OK,Dégradation
KQI-089,ST-003,Gamma Data Management,Disponibilité système,2023-Q1,99.5,99,99.5,OK,Stable
KQI-090,ST-003,Gamma Data Management,Disponibilité système,2023-Q2,99.6,99,99.5,OK,Amélioration
KQI-091,ST-003,Gamma Data Management,Disponibilité système,2023-Q3,99.3,99,99.5,Attention,Dégradation
KQI-092,ST-003,Gamma Data Management,Disponibilité système,2023-Q4,99.1,99,99.5,Attention,Dégradation
KQI-093,ST-003,Gamma Data Management,Disponibilité système,2024-Q1,98.8,99,99.5,ALERTE,Dégradation
KQI-094,ST-003,Gamma Data Management,Disponibilité système,2024-Q2,99.2,99,99.5,Attention,Amélioration
KQI-095,ST-003,Gamma Data Management,Disponibilité système,2024-Q3,99.5,99,99.5,OK,Amélioration
KQI-096,ST-003,Gamma Data Management,Disponibilité système,2024-Q4,99.7,99,99.5,OK,Amélioration
KQI-097,ST-003,Gamma Data Management,Disponibilité système,2025-Q1,99.8,99,99.5,OK,Amélioration
KQI-098,ST-003,Gamma Data Management,Disponibilité système,2025-Q2,99.7,99,99.5,OK,Dégradation
KQI-099,ST-003,Gamma Data Management,Disponibilité système,2025-Q3,99.8,99,99.5,OK,Amélioration
KQI-100,ST-004,Delta Clinical Logistics,Taux livraison temps,2023-Q1,98,95,98,OK,Stable
KQI-101,ST-004,Delta Clinical Logistics,Taux livraison temps,2023-Q2,99,95,98,OK,Amélioration
KQI-102,ST-004,Delta Clinical Logistics,Taux livraison temps,2023-Q3,97,95,98,Attention,Dégradation
KQI-103,ST-004,Delta Clinical Logistics,Taux livraison temps,2023-Q4,85,95,98,ALERTE,Dégradation
KQI-104,ST-004,Delta Clinical Logistics,Taux livraison temps,2024-Q1,78,95,98,ALERTE,Dégradation
KQI-105,ST-004,Delta Clinical Logistics,Taux livraison temps,2024-Q2,88,95,98,ALERTE,Amélioration
KQI-106,ST-004,Delta Clinical Logistics,Taux livraison temps,2024-Q3,94,95,98,ALERTE,Amélioration
KQI-107,ST-004,Delta Clinical Logistics,Taux livraison temps,2024-Q4,97,95,98,Attention,Amélioration
KQI-108,ST-004,Delta Clinical Logistics,Taux livraison temps,2025-Q1,98,95,98,OK,Amélioration
KQI-109,ST-004,Delta Clinical Logistics,Taux livraison temps,2025-Q2,97,95,98,Attention,Dégradation
KQI-110,ST-004,Delta Clinical Logistics,Taux livraison temps,2025-Q3,98,95,98,OK,Amélioration
KQI-111,ST-004,Delta Clinical Logistics,Excursions température,2023-Q1,0,2,0,OK,Stable
KQI-112,ST-004,Delta Clinical Logistics,Excursions température,2023-Q2,0,2,0,OK,Stable
KQI-113,ST-004,Delta Clinical Logistics,Excursions température,2023-Q3,1,2,0,Attention,Dégradation
KQI-114,ST-004,Delta Clinical Logistics,Excursions température,2023-Q4,5,2,0,ALERTE,Dégradation
KQI-115,ST-004,Delta Clinical Logistics,Excursions température,2024-Q1,3,2,0,ALERTE,Amélioration
KQI-116,ST-004,Delta Clinical Logistics,Excursions température,2024-Q2,1,2,0,Attention,Amélioration
KQI-117,ST-004,Delta Clinical Logistics,Excursions température,2024-Q3,0,2,0,OK,Amélioration
KQI-118,ST-004,Delta Clinical Logistics,Excursions température,2024-Q4,0,2,0,OK,Stable
KQI-119,ST-004,Delta Clinical Logistics,Excursions température,2025-Q1,0,2,0,OK,Stable
KQI-120,ST-004,Delta Clinical Logistics,Excursions température,2025-Q2,0,2,0,OK,Stable
KQI-121,ST-004,Delta Clinical Logistics,Excursions température,2025-Q3,0,2,0,OK,Stable
KQI-122,ST-004,Delta Clinical Logistics,Taux conformité documentation,2023-Q1,95,90,95,OK,Stable
KQI-123,ST-004,Delta Clinical Logistics,Taux conformité documentation,2023-Q2,96,90,95,OK,Amélioration
KQI-124,ST-004,Delta Clinical Logistics,Taux conformité documentation,2023-Q3,94,90,95,Attention,Dégradation
KQI-125,ST-004,Delta Clinical Logistics,Taux conformité documentation,2023-Q4,78,90,95,ALERTE,Dégradation
KQI-126,ST-004,Delta Clinical Logistics,Taux conformité documentation,2024-Q1,82,90,95,ALERTE,Amélioration
KQI-127,ST-004,Delta Clinical Logistics,Taux conformité documentation,2024-Q2,89,90,95,ALERTE,Amélioration
KQI-128,ST-004,Delta Clinical Logistics,Taux conformité documentation,2024-Q3,93,90,95,Attention,Amélioration
KQI-129,ST-004,Delta Clinical Logistics,Taux conformité documentation,2024-Q4,95,90,95,OK,Amélioration
KQI-130,ST-004,Delta Clinical Logistics,Taux conformité documentation,2025-Q1,96,90,95,OK,Amélioration
KQI-131,ST-004,Delta Clinical Logistics,Taux conformité documentation,2025-Q2,97,90,95,OK,Amélioration
KQI-132,ST-004,Delta Clinical Logistics,Taux conformité documentation,2025-Q3,97,90,95,OK,Stable
KQI-133,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2023-Q1,0,1,0,OK,Stable
KQI-134,ST-001,CRO Alpha Clinical Services,Nombre de findings critiques d'inspection,2023-Q2,0,1,0,OK,Stable
